,code,name,gt_12%_counts,2022_roe,2021_roe,2020_roe,2019_roe,2018_roe,2017_roe,2016_roe,2015_roe,2014_roe,2013_roe
158,sh.603392,万泰生物,4,56.35%,57.59%,32.92%,14.36%,,,,,,
159,sh.600588,用友网络,4,2.38%,9.74%,13.44%,17.22%,9.86%,6.74%,3.52%,6.81%,15.26%,17.62%
160,sz.002459,晶澳科技,4,25.15%,13.09%,13.31%,27.04%,0.39%,1.78%,1.64%,-23.55%,2.60%,-60.12%
161,sh.601169,北京银行,4,8.21%,8.64%,10.08%,10.73%,10.89%,11.82%,13.76%,15.85%,17.96%,17.98%
162,sz.000877,天山股份,4,5.75%,28.94%,14.95%,18.13%,15.76%,4.01%,1.62%,-7.91%,3.74%,4.27%
163,sz.000063,中兴通讯,4,14.67%,14.38%,11.81%,19.91%,-25.61%,15.74%,-8.41%,11.76%,11.11%,6.17%
164,sh.603019,中科曙光,4,10.40%,9.53%,10.31%,14.58%,12.36%,10.21%,10.57%,14.04%,12.21%,
165,sh.600600,青岛啤酒,4,15.30%,14.47%,11.06%,9.97%,8.10%,7.55%,6.37%,10.76%,13.53%,14.90%
166,sz.300433,蓝思科技,4,5.64%,4.88%,15.17%,12.53%,3.77%,13.32%,9.85%,17.30%,,
167,sz.300496,中科创达,4,10.79%,13.60%,14.21%,13.94%,11.97%,6.63%,11.61%,17.80%,,
168,sh.601818,光大银行,4,9.05%,9.28%,9.02%,10.57%,10.75%,11.36%,12.80%,14.67%,17.41%,20.01%
169,sh.600760,中航沈飞,4,19.01%,15.73%,15.72%,10.61%,9.91%,18.67%,6.67%,-44.13%,-20.90%,2.39%
170,sh.603486,科沃斯,4,29.48%,49.06%,22.99%,4.86%,25.91%,,,,,
171,sh.603185,上机数控,4,30.37%,33.88%,24.32%,11.40%,19.86%,,,,,
172,sh.601615,明阳智能,4,14.86%,18.71%,12.79%,12.76%,10.05%,,,,,
173,sz.300759,康龙化成,4,13.30%,17.48%,14.09%,10.84%,15.68%,,,,,
174,sh.601865,福莱特,4,16.43%,22.26%,27.73%,17.53%,11.77%,,,,,
175,sz.300769,德方纳米,4,40.09%,30.96%,-1.86%,13.86%,21.89%,,,,,
